id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
38	playerVirtual37	192.168.0.200	2	3.98	39	1	3	0	2	1	0	1023	1047552	10230	3	6144	60	30	3cc9d8fced0eed8b4a0d6e98a09d78339bb68f5b	NULL	1	2018-01-16 08:28:53	0
40	playerVirtual39	192.168.0.200	2	3.98	37	1	3	0	0	3	0	1023	1047552	10230	0	0	0	30	621b2691628620379345a79992691e511fb7ab66	NULL	1	2018-01-16 08:39:10	0
46	playerVirtual45	192.168.0.200	2	3.32	31	1	3	0	1	2	0	1023	1047552	10230	1	512	1	30	4c2e218206f82459ae1db1e72d9f661d077c546c	NULL	1	2018-01-16 09:07:07	0
48	playerVirtual47	192.168.0.200	2	3.98	29	1	2	0	1	1	0	1023	1047552	10230	2	4096	40	30	e03048a4990869b1d07dcb9dd85c714d6c76ee9c	NULL	1	2018-01-16 08:25:03	0
49	playerVirtual48	192.168.0.200	2	3.98	28	1	3	0	2	1	0	1023	1047552	10230	4	8192	80	30	0e9e2dab89b7d22de7d845fcd9595d8a35cfd7da	NULL	1	2018-01-16 09:40:53	0
50	playerVirtual49	192.168.0.200	2	3.98	27	1	3	0	2	1	0	1023	1047552	10230	3	6144	60	30	daa7b834720c3bf3f33bdfcf4e1f8382e30f05ac	NULL	1	2018-01-16 09:49:12	0
53	playerVirtual52	192.168.0.200	2	3.32	24	1	2	0	1	1	0	1023	1047552	10230	1	512	1	30	6185be20aaa5618a6a456cb4390a765f6113d647	NULL	1	2018-01-16 08:53:31	0
54	playerVirtual53	192.168.0.200	2	3.32	23	1	2	0	2	0	0	1023	1047552	10230	3	4608	41	30	3a647087b1739a05e5034da6d0c9ab71fc3e144c	NULL	1	2018-01-16 09:02:19	0
55	playerVirtual54	192.168.0.200	2	3.98	22	1	2	0	1	1	0	1023	1047552	10230	2	4096	40	30	2a17b117be87216763a3234fef644b555da8ecbb	NULL	1	2018-01-16 09:04:19	0
56	playerVirtual55	192.168.0.200	2	3.32	21	1	2	0	2	0	0	1023	1047552	10230	3	4608	41	30	c6a67f30685701f78e3e2c65cf88e1bd70eeed57	NULL	1	2018-01-16 09:11:23	0
57	playerVirtual56	192.168.0.200	2	3.32	20	1	2	0	2	0	0	1023	1047552	10230	3	4608	41	30	a9cf2e7ed781ac80629b692d522ed4851fc16438	NULL	1	2018-01-16 09:19:17	0
58	playerVirtual57	192.168.0.200	2	3.98	19	1	2	0	1	1	0	1023	1047552	10230	2	4096	40	30	44e220c1c3e13390f0422255d84824f1b87713c4	NULL	1	2018-01-16 09:24:14	0
61	playerVirtual60	192.168.0.200	2	3.32	16	1	2	0	1	1	0	1023	1047552	10230	2	4096	40	30	eafc11f8abe28f2915755a2a5a96490e0959f77a	NULL	1	2018-01-16 09:31:38	0
62	playerVirtual61	192.168.0.200	2	2.66	15	1	2	0	2	0	0	1023	1047552	10230	2	1024	2	30	c4b2d6f8074f0ba1677480ce55ba8e7ee2c46d52	NULL	1	2018-01-16 09:40:53	0
