id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
1	playerVirtual0	192.168.0.200	3	0	1	0	0	0	0	0	0	1023	1047552	10230	0	0	0	30	73fdd421af944bdda49bd25897a8aae70ec93966	NULL	1	2018-01-01 00:00:00	0
id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
1	playerVirtual0	192.168.0.200	2	5.97	2	0.75	3	0	3	0	0	1023	1047552	10230	6	12288	120	30	73fdd421af944bdda49bd25897a8aae70ec93966	NULL	1	2018-01-16 03:39:22	0
2	playerVirtual1	192.168.0.200	3	2.32	1	1	3	1	3	0	0	1023	1047552	10230	4	6656	61	30	2f4084478496b98d5919738ab31c3cc87bb7d42e	NULL	1	2018-01-16 03:38:29	0
id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
1	playerVirtual0	192.168.0.200	1	5.97	4	0.875	3	0	3	0	0	1023	1047552	10230	6	12288	120	30	73fdd421af944bdda49bd25897a8aae70ec93966	NULL	1	2018-01-16 03:39:22	0
2	playerVirtual1	192.168.0.200	2	6.31	2	0.857143	9	1	9	0	0	1023	1047552	10230	10	14336	124	30	2f4084478496b98d5919738ab31c3cc87bb7d42e	NULL	1	2018-01-16 03:43:35	0
3	playerVirtual2	192.168.0.200	3	2.32	1	1	3	1	3	0	0	1023	1047552	10230	4	6656	61	30	183fd261d9db14e2a0bed4bafe7ed46f6a721061	NULL	1	2018-01-16 03:44:21	0
id	name	address	division	score	history	fairness	accepts	rejects	running	finished	problem_del	vcpus	memory	local_gb	vcpus_used	memory_used	local_gb_used	max_instance	token	suspend	enabled	last_choice	playoff
1	playerVirtual0	192.168.0.200	1	5.97	5	0.9	3	0	3	0	0	1023	1047552	10230	6	12288	120	30	73fdd421af944bdda49bd25897a8aae70ec93966	NULL	1	2018-01-16 03:39:22	0
2	playerVirtual1	192.168.0.200	1	9.63	4	0.888889	11	1	11	0	0	1023	1047552	10230	13	18944	165	30	2f4084478496b98d5919738ab31c3cc87bb7d42e	NULL	1	2018-01-16 03:47:38	0
